HSCode,Description,Unit,Quantity,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Imports_Revenue_Rs_Thousands
70053000,Wired unworked sheets of float/ground/poli  hed glass.,SQM,19,8.29505,0.000008,4.502
70060000,"Glass of 7003, 7004 or 7005, bent, edge -wo ked, engraved, etc",Kg,1258.72,844.675145,0.000845,458.368
70071100,"Toughened (tempered) safety glass for use   n vehicles, aircraft, etc",Kg,10243.040789,6405.860028,0.006406,3475.654
70071900,"Toughened (tempered) safety glass, nes",SQM,2275.965117,3417.145441,0.003417,1856.076
70072100,"Laminated safety glass for vehicles, aircr  ft, spacecraft or vessels",Kg,15058.656992,6826.66477,0.006827,3713.081
70072900,"Laminated safety glass, nes",SQM,92994.146975,2730.382683,0.00273,1933.286
70080000,Multiple-walled insulating units of glass,PCS,2025,2190.601955,0.002191,1188.518
70091000,"Rear-view mirrors for vehicles, of glass  . .",PCS,68026,16028.391265,0.016028,8815.433
70099100,Unframed glass mirrors (excl rear-view fo r vehicles),PCS,31981,35398.741196,0.035399,19394.553
70099200,Framed glass mirrors (excl rear-view for  v hicles),PCS,30651,3606.753027,0.003607,2062.181
70101000,Glass ampoules,GRO,7,2.67809,0.000003,0.443
70102000,"Stoppers, lids and other closures of glass",GRO,40,6.71431,0.000007,5.608
